name,group,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Japan,Asia,4.10,4.00,3.80,3.60,3.40,3.30,3.10,3.00,2.90,2.90,2.70,2.70,2.60,2.50,2.4,2.4,2.3,2.2,2.1,2.1,2
Jordan,Asia,26.2,25.5,24.9,24.3,23.8,23.2,22.6,22.1,21.5,20.9,20.4,19.9,19.3,18.8,18.3,17.8,17.3,16.8,16.3,15.8,15.4
Kazakhstan,Asia,44.80,44.00,42.70,41.10,39.40,37.50,35.70,33.90,32.10,30.30,28.60,26.80,24.80,23.00,21.1,19.3,17.5,16,14.6,13.5,12.6
South Korea,Asia,4.70,4.50,4.50,4.70,4.90,5.20,5.50,5.60,5.40,5.20,4.80,4.50,4.10,3.90,3.7,3.5,3.4,3.3,3.2,3,2.9
Latvia,Europe,19.70,19.10,18.10,16.90,15.70,14.50,13.60,12.80,12.20,11.40,10.70,10.10,9.60,9.10,8.6,8.2,7.8,7.6,7.4,7.2,6.9
Lebanon,Asia,21.80,20.80,19.90,19.00,18.10,17.10,16.10,15.10,14.10,13.10,12.10,11.20,10.40,9.70,9.2,8.7,8.3,7.9,7.6,7.3,7.1
Libya,Africa,28.40,27.40,26.50,25.70,24.90,24.20,23.40,22.70,21.90,20.90,19.80,18.60,17.30,16.10,15.1,14.3,13.9,12.9,12.4,11.9,11.4
Lithuania,Europe,13.50,12.00,11.00,10.40,10.00,9.60,9.20,8.90,8.70,8.40,8.10,7.70,7.20,6.70,6.1,5.6,5,4.5,4,3.6,3.3
Macedonia,Europe,22,19.5,17.5,16.1,15,14.2,13.5,12.8,12.6,12.4,12.1,11.6,11,10.4,9.6,8.7,7.5,6.5,5.8,5.2,4.8
Malaysia,Asia,11.50,11.10,10.70,10.10,9.40,8.70,8.10,7.60,7.30,7.10,7.00,6.90,6.90,6.90,6.9,6.8,6.7,6.6,6.4,6.2,6
Mali,Africa,124.50,123.60,122.60,121.00,118.90,116.00,112.60,108.80,104.70,100.60,96.70,93.20,90.10,87.50,85,82.9,81,79.2,77.6,75.9,74.5
